episode,background,family,fine_exposed,probe_exposed,innovation_changed,score_changed,ranking_changed,top_group_changed,gate_changed,schedule_changed,budget_blocked
b06_ramp_3.0,6,ramp,True,True,True,True,True,False,False,False,False
b06_regional_1.0,6,regional,True,True,True,True,True,False,False,False,False
b06_regional_3.0,6,regional,True,True,True,True,True,True,False,False,False
b07_cancel_approx_1.0,7,cancel_approx,True,True,True,True,False,False,False,False,False
b07_cancel_approx_3.0,7,cancel_approx,True,True,True,True,False,False,False,False,False
b07_cancel_exact_1.0,7,cancel_exact,True,True,True,False,False,False,False,False,False
b07_cancel_exact_3.0,7,cancel_exact,True,True,True,True,False,False,False,False,False
b07_delayed_1.0,7,delayed,True,True,True,True,True,False,False,False,False
b07_delayed_3.0,7,delayed,True,True,True,True,True,True,False,False,False
b07_localized_1.0,7,localized,True,True,True,True,True,False,False,False,False
b07_localized_3.0,7,localized,True,True,True,True,True,False,False,False,False
b07_ramp_1.0,7,ramp,True,True,True,True,True,False,False,False,False
b07_ramp_3.0,7,ramp,True,True,True,True,True,False,False,False,False
b07_regional_1.0,7,regional,True,True,True,True,True,False,False,False,False
b07_regional_3.0,7,regional,True,True,True,True,True,False,False,False,False
