building,site,timezone,training_valid_fraction,complete_training_days,training_scale,reason,training_missing,training_negative,training_zero,selected
Bear_education_Laurette,Bear,US/Pacific,0.9927007299270073,248,51.59356564031863,eligible,48,0,0,False
Bear_education_Leonel,Bear,US/Pacific,0.9996958637469586,271,119.78692906905994,eligible,2,0,0,False
Bear_education_Lewis,Bear,US/Pacific,0.9998479318734793,272,24.08819887452471,eligible,1,0,0,False
Bear_education_Lidia,Bear,US/Pacific,0.9998479318734793,272,13.562839589353612,eligible,1,0,0,False
Bear_education_Lila,Bear,US/Pacific,0.9998479318734793,272,215.79476252471483,eligible,1,0,0,False
Bear_education_Liliana,Bear,US/Pacific,0.8462591240875912,13,523.9915320575024,training_valid_fraction_below_0.95,1011,0,0,False
Bear_education_Lorie,Bear,US/Pacific,0.9993917274939172,269,390.89832000912963,eligible,4,0,5,False
Bear_education_Mara,Bear,US/Pacific,0.9531630170316302,212,522.2548006860243,eligible,308,0,0,False
Bear_education_Marie,Bear,US/Pacific,0.9998479318734793,272,23.979730509505703,eligible,1,0,0,False
Bear_education_Marsha,Bear,US/Pacific,0.9998479318734793,272,91.95677502661596,eligible,1,0,0,False
Bear_education_Marta,Bear,US/Pacific,0.9998479318734793,272,41.51189301901141,eligible,1,0,0,False
Bear_education_Maryjane,Bear,US/Pacific,0.9998479318734793,272,332.6516543269962,eligible,1,0,0,False
Bear_education_Merrill,Bear,US/Pacific,0.5311739659367397,129,22.642194474663615,training_valid_fraction_below_0.95,3083,0,0,False
Bear_education_Millie,Bear,US/Pacific,0.9770377128953771,234,3.417424513618677,eligible,151,0,0,False
Bear_education_Nanette,Bear,US/Pacific,0.7565389294403893,205,111.9925911356784,training_valid_fraction_below_0.95,1601,0,0,False
Bear_education_Oscar,Bear,US/Pacific,0.9998479318734793,272,13.240151711026616,eligible,1,0,0,False
Bear_education_Owen,Bear,US/Pacific,0.9998479318734793,272,153.8891928973384,eligible,1,0,0,False
Bear_education_Paola,Bear,US/Pacific,0.9998479318734793,272,144.73721706463877,eligible,1,0,0,False
Bear_education_Patricia,Bear,US/Pacific,0.9998479318734793,272,618.3488924106464,eligible,1,0,0,False
Bear_education_Pattie,Bear,US/Pacific,0.9998479318734793,272,145.38102661596957,eligible,1,0,0,False
Bear_education_Rebecca,Bear,US/Pacific,0.9992396593673966,270,819.3795129204079,eligible,5,0,0,False
Bear_education_Sandy,Bear,US/Pacific,0.9993917274939172,269,6.187246287279367,eligible,4,0,0,False
Bear_education_Santos,Bear,US/Pacific,0.9998479318734793,272,8.288912775665398,eligible,1,0,0,False
Bear_education_Sharon,Bear,US/Pacific,0.9995437956204379,271,112.18076172219686,eligible,3,0,0,False
Bear_education_Shelley,Bear,US/Pacific,0.9998479318734793,272,168.24625904182506,eligible,1,0,0,False
Bear_education_Tara,Bear,US/Pacific,0.9998479318734793,272,3.6690874220532317,eligible,1,0,0,False
Bear_education_Thuy,Bear,US/Pacific,0.9998479318734793,272,233.441307391635,eligible,1,0,0,False
Bear_education_Val,Bear,US/Pacific,0.9998479318734793,272,379.4061820836502,eligible,1,0,0,False
Bear_education_Wade,Bear,US/Pacific,0.9998479318734793,272,56.915985384030414,eligible,1,0,16,False
Bear_education_Wilton,Bear,US/Pacific,0.9986313868613139,271,1531.7498297091518,eligible,9,0,0,False
Bear_education_Wm,Bear,US/Pacific,0.9995437956204379,271,50.99538429940666,eligible,3,0,0,False
Bear_education_Yuri,Bear,US/Pacific,0.9998479318734793,272,18.184513688212927,eligible,1,0,0,False
Bear_education_Yvette,Bear,US/Pacific,0.9998479318734793,272,10.449791315589353,eligible,1,0,0,False
Bear_education_Zandra,Bear,US/Pacific,0.9981751824817519,269,984.2452840493601,eligible,12,0,0,False
Bear_lodging_Dannie,Bear,US/Pacific,0.9993917274939172,270,8.055567924528303,eligible,4,0,0,False
Bear_lodging_Erick,Bear,US/Pacific,0.9998479318734793,272,44.06091668441065,eligible,1,0,0,False
Bear_lodging_Esperanza,Bear,US/Pacific,0.170316301703163,45,31.49934848214286,training_valid_fraction_below_0.95,5456,0,0,False
Bear_lodging_Evan,Bear,US/Pacific,0.9998479318734793,272,180.70177292775668,eligible,1,0,0,False
Bear_parking_Bridget,Bear,US/Pacific,0.13001824817518248,35,16.109928187134503,training_valid_fraction_below_0.95,5721,0,0,False
Bear_parking_Bruce,Bear,US/Pacific,0.995742092457421,246,42.76154810629199,eligible,28,0,0,False
Bear_parking_Gordon,Bear,US/Pacific,0.9993917274939172,271,27.658729275715157,eligible,4,0,0,False
Bear_public_Arlean,Bear,US/Pacific,0.6821776155717761,183,110.43209172982614,training_valid_fraction_below_0.95,2090,0,1,False
Bear_public_Jocelyn,Bear,US/Pacific,0.9998479318734793,272,51.273387787072245,eligible,1,0,0,False
Bear_public_Lowell,Bear,US/Pacific,0.9996958637469586,271,208.62802829327651,eligible,2,0,0,False
Bear_public_Orville,Bear,US/Pacific,0.9998479318734793,272,38.884605673003804,eligible,1,0,0,False
Bear_public_Rayna,Bear,US/Pacific,0.9998479318734793,272,112.69216961216729,eligible,1,0,0,False
Bear_public_Valorie,Bear,US/Pacific,0.9998479318734793,272,178.54081429657796,eligible,1,0,0,False
Bear_science_Alison,Bear,US/Pacific,0.9986313868613139,270,99.6958296786965,eligible,9,0,0,False
Bear_science_Eleanor,Bear,US/Pacific,0.9977189781021898,268,36.992396326779456,eligible,15,0,0,False
Bear_utility_Sidney,Bear,US/Pacific,0.9948296836982968,259,53.19184662182819,eligible,34,0,0,False
Bobcat_assembly_Adam,Bobcat,US/Mountain,0.9983272506082725,262,71.21603083015994,eligible,11,0,3,True
Bobcat_assembly_Billy,Bobcat,US/Mountain,0.978558394160584,260,133.10299264957266,eligible,141,0,0,False
Bobcat_assembly_Camilla,Bobcat,US/Mountain,0.9981751824817519,264,20.978464549055452,eligible,12,0,3,False
Bobcat_assembly_Franklin,Bobcat,US/Mountain,0.9708029197080292,254,170.3680065319549,eligible,192,0,20,False
Bobcat_education_Alissa,Bobcat,US/Mountain,0.9989355231143552,271,61.21591549703151,eligible,7,0,0,False
Bobcat_education_Angela,Bobcat,US/Mountain,0.996198296836983,258,85.15846853915434,eligible,25,0,0,False
Bobcat_education_Barbra,Bobcat,US/Mountain,0.0,0,0.0,training_valid_fraction_below_0.95,6576,0,0,False
Bobcat_education_Coleman,Bobcat,US/Mountain,0.9501216545012166,247,130.2119448143406,eligible,328,0,16,False
Bobcat_education_Dylan,Bobcat,US/Mountain,0.8520377128953771,222,137.5972792789577,training_valid_fraction_below_0.95,973,0,0,False
Bobcat_education_Emile,Bobcat,US/Mountain,0.45331508515815083,121,12.275422475679301,training_valid_fraction_below_0.95,3595,0,2,False
Bobcat_education_Hollis,Bobcat,US/Mountain,0.9996958637469586,271,157.9434978551871,eligible,2,0,0,False
Bobcat_education_Jayne,Bobcat,US/Mountain,0.9996958637469586,271,59.83467266504411,eligible,2,0,0,False
Bobcat_education_Karin,Bobcat,US/Mountain,0.9329379562043796,247,42.60204275468623,training_valid_fraction_below_0.95,441,0,1,False
Bobcat_education_Marisha,Bobcat,US/Mountain,0.9981751824817519,261,68.23672781840341,eligible,12,0,0,False
Bobcat_education_Miki,Bobcat,US/Mountain,0.9781021897810219,258,76.01473518345772,eligible,144,0,0,False
Bobcat_education_Monte,Bobcat,US/Mountain,0.677463503649635,180,20.649386262626262,training_valid_fraction_below_0.95,2121,0,62,False
Bobcat_education_Rodrick,Bobcat,US/Mountain,0.5976277372262774,160,61.51771435114504,training_valid_fraction_below_0.95,2646,0,17,False
Bobcat_education_Rosalva,Bobcat,US/Mountain,0.9294403892944039,244,83.13639353730366,training_valid_fraction_below_0.95,464,0,0,False
Bobcat_education_Seth,Bobcat,US/Mountain,0.0,0,0.0,training_valid_fraction_below_0.95,6576,0,0,False
Bobcat_education_Toni,Bobcat,US/Mountain,0.9993917274939172,270,28.459206086427265,eligible,4,0,0,False
Bobcat_education_Whitney,Bobcat,US/Mountain,0.9998479318734793,272,379.2229201064639,eligible,1,0,0,False
Bobcat_lodging_Darin,Bobcat,US/Mountain,0.9986313868613139,267,135.506009578194,eligible,9,0,0,False
Bobcat_lodging_Melaine,Bobcat,US/Mountain,0.9996958637469586,271,42.58817663522969,eligible,2,0,0,False
Bobcat_lodging_Nickolas,Bobcat,US/Mountain,0.9993917274939172,271,53.090852967133294,eligible,4,0,0,False
Bobcat_office_Alma,Bobcat,US/Mountain,0.9989355231143552,266,4.360483178565992,eligible,7,0,117,False
Bobcat_office_Justine,Bobcat,US/Mountain,0.6097931873479319,162,19.69491950124688,training_valid_fraction_below_0.95,2566,0,9,False
Bobcat_office_Kassandra,Bobcat,US/Mountain,0.8202554744525548,208,50.581728883945125,training_valid_fraction_below_0.95,1182,0,0,False
Bobcat_office_Melody,Bobcat,US/Mountain,0.6097931873479319,163,46.78233531172069,training_valid_fraction_below_0.95,2566,0,2,False
Bobcat_office_Nikita,Bobcat,US/Mountain,0.9811435523114356,258,41.89205816800991,eligible,124,0,4,False
Bobcat_other_Howard,Bobcat,US/Mountain,0.9858576642335767,237,59.139507913003236,eligible,93,0,32,False
Bobcat_other_Jovita,Bobcat,US/Mountain,0.9879866180048662,265,35.69648884100354,eligible,79,0,16,False
Bobcat_other_Timothy,Bobcat,US/Mountain,0.9996958637469586,271,17.564091557651352,eligible,2,0,16,False
Bobcat_public_Angie,Bobcat,US/Mountain,0.45331508515815083,119,270.3413724253606,training_valid_fraction_below_0.95,3595,0,0,False
Bobcat_science_Tammy,Bobcat,US/Mountain,0.4052615571776156,103,133.2909690056285,training_valid_fraction_below_0.95,3911,0,0,False
Bobcat_warehouse_Charlie,Bobcat,US/Mountain,0.9998479318734793,272,0.0,degenerate_training_meter,1,0,6575,False
Bull_assembly_Amalia,Bull,US/Central,0.9977189781021898,262,608.4871208657216,eligible,15,0,164,True
Bull_assembly_Beau,Bull,US/Central,0.9983272506082725,265,514.1507996953542,eligible,11,0,139,False
Bull_assembly_Brandon,Bull,US/Central,0.9981751824817519,264,84.5403717245582,eligible,12,0,141,False
Bull_assembly_Daryl,Bull,US/Central,0.9724756690997567,230,38.19265050820954,eligible,181,0,173,False
Bull_assembly_Dorethea,Bull,US/Central,0.997110705596107,259,21.293426872045142,eligible,19,0,168,False
Bull_assembly_Freddie,Bull,US/Central,0.9975669099756691,261,239.09588414634146,eligible,16,0,165,False
Bull_assembly_Gerri,Bull,US/Central,0.9977189781021898,262,157.83036122542296,eligible,15,0,165,False
Bull_assembly_Gigi,Bull,US/Central,0.9984793187347932,265,363.6663113006397,eligible,10,0,164,False
Bull_assembly_Goldie,Bull,US/Central,0.9977189781021898,261,51.1876238378296,eligible,15,0,165,False
Bull_assembly_Katia,Bull,US/Central,0.9522506082725061,252,126.91009262216544,eligible,314,0,741,False
Bull_assembly_Lance,Bull,US/Central,0.9987834549878345,267,445.7792326431181,eligible,8,0,165,False
Bull_assembly_Lesa,Bull,US/Central,0.9974148418491484,260,11.030492453117853,eligible,17,0,148,False
Bull_assembly_Maren,Bull,US/Central,0.9762773722627737,258,324.76433021806855,eligible,156,0,166,False
Bull_assembly_Nathanial,Bull,US/Central,0.9972627737226277,261,208.1757548032937,eligible,18,0,180,False
Bull_assembly_Newton,Bull,US/Central,0.9861618004866181,191,4.040863531225906,eligible,91,0,530,False
Bull_assembly_Nick,Bull,US/Central,0.9984793187347932,265,937.0953396283886,eligible,10,0,296,False
Bull_assembly_Vanessa,Bull,US/Central,0.9978710462287105,263,122.53154526059129,eligible,14,0,141,False
Bull_education_Annette,Bull,US/Central,0.9993917274939172,269,87.75258673158855,eligible,4,0,3196,False
Bull_education_Antonia,Bull,US/Central,0.9983272506082725,266,494.4184310738766,eligible,11,0,139,False
Bull_education_Arthur,Bull,US/Central,0.9975669099756691,262,398.9266768292683,eligible,16,0,163,False
Bull_education_Barry,Bull,US/Central,0.9981751824817519,264,964.4008226691042,eligible,12,0,163,False
Bull_education_Bernice,Bull,US/Central,0.9984793187347932,266,323.08679256777344,eligible,10,0,160,False
Bull_education_Brady,Bull,US/Central,0.9978710462287105,262,34.641420298689425,eligible,14,0,140,False
Bull_education_Brain,Bull,US/Central,0.9978710462287105,263,389.70192014629686,eligible,14,0,153,False
Bull_education_Brandi,Bull,US/Central,0.9974148418491484,261,26.283579813996035,eligible,17,0,140,False
Bull_education_Brenda,Bull,US/Central,0.9977189781021898,262,145.36421800030482,eligible,15,0,141,False
Bull_education_Bryon,Bull,US/Central,0.9977189781021898,262,35.15973174820911,eligible,15,0,142,False
Bull_education_Carl,Bull,US/Central,0.9981751824817519,264,610.0124923826935,eligible,12,0,164,False
Bull_education_Clarice,Bull,US/Central,0.9978710462287105,263,28.694757695824443,eligible,14,0,140,False
Bull_education_Clarita,Bull,US/Central,0.9875304136253041,197,321.7069602710194,eligible,82,0,402,False
Bull_education_Dakota,Bull,US/Central,0.9980231143552312,263,54.05927167453908,eligible,13,0,140,False
Bull_education_Dan,Bull,US/Central,0.9977189781021898,262,175.63206828227405,eligible,15,0,170,False
Bull_education_Dania,Bull,US/Central,0.9977189781021898,262,42.658588629782045,eligible,15,0,141,False
Bull_education_Delia,Bull,US/Central,0.9998479318734793,272,158.1450950570342,eligible,1,0,5290,False
Bull_education_Dora,Bull,US/Central,0.9978710462287105,262,108.4151173422737,eligible,14,0,165,False
Bull_education_Dottie,Bull,US/Central,0.9992396593673966,268,1371.1777507228733,eligible,5,0,168,False
Bull_education_Elva,Bull,US/Central,0.9980231143552312,263,58.774493371933566,eligible,13,0,140,False
Bull_education_Fabiola,Bull,US/Central,0.9978710462287105,262,182.9455958549223,eligible,14,0,164,False
Bull_education_Geneva,Bull,US/Central,0.9981751824817519,264,29.28534430225472,eligible,12,0,140,False
Bull_education_Genie,Bull,US/Central,0.9977189781021898,261,123.52994970278921,eligible,15,0,164,False
Bull_education_Gregory,Bull,US/Central,0.9975669099756691,261,72.52530487804879,eligible,16,0,163,False
Bull_education_Hayley,Bull,US/Central,0.9978710462287105,262,163.85111246571168,eligible,14,0,165,False
Bull_education_Jae,Bull,US/Central,0.9975669099756691,262,537.7969512195122,eligible,16,0,167,False
Bull_education_Jeffery,Bull,US/Central,0.9987834549878345,266,442.325365408039,eligible,8,0,1266,False
Bull_education_Joseph,Bull,US/Central,0.995742092457421,259,121.02253512522907,eligible,28,0,198,False
Bull_education_Juan,Bull,US/Central,0.9977189781021898,262,208.29644871208657,eligible,15,0,163,False
Bull_education_Kendra,Bull,US/Central,0.9978710462287105,263,454.23041755562326,eligible,14,0,179,False
Bull_education_Krista,Bull,US/Central,0.9977189781021898,261,306.0256058527663,eligible,15,0,164,False
Bull_education_Kristal,Bull,US/Central,0.9975669099756691,261,403.1155487804878,eligible,16,0,164,False
Bull_education_Lenny,Bull,US/Central,0.9974148418491484,261,34.3764293337399,eligible,17,0,166,False
Bull_education_Linnie,Bull,US/Central,0.9977189781021898,262,196.85352842554488,eligible,15,0,164,False
Bull_education_Luke,Bull,US/Central,0.9977189781021898,262,299.393385154702,eligible,15,0,164,False
Bull_education_Lydia,Bull,US/Central,0.9987834549878345,267,87.34728989037758,eligible,8,0,163,False
Bull_education_Lyn,Bull,US/Central,0.9975669099756691,261,24.89375,eligible,16,0,165,False
Bull_education_Magaret,Bull,US/Central,0.9977189781021898,262,65.91998171010516,eligible,15,0,168,False
Bull_education_Mario,Bull,US/Central,0.9978710462287105,263,100.71456872904602,eligible,14,0,138,False
Bull_education_Matilda,Bull,US/Central,0.9990875912408759,267,80.10593607305935,eligible,6,0,1394,False
Bull_education_Mervin,Bull,US/Central,0.9975669099756691,261,193.15548780487805,eligible,16,0,164,False
Bull_education_Miquel,Bull,US/Central,0.9978710462287105,262,259.01737275220967,eligible,14,0,164,False
Bull_education_Miranda,Bull,US/Central,0.9975669099756691,261,169.58185975609757,eligible,16,0,165,False
Bull_education_Myra,Bull,US/Central,0.9983272506082725,265,46.257578065498855,eligible,11,0,147,False
Bull_education_Nichole,Bull,US/Central,0.9978710462287105,262,189.73956110941785,eligible,14,0,164,False
Bull_education_Nina,Bull,US/Central,0.9978710462287105,262,243.04236513258152,eligible,14,0,164,False
Bull_education_Nolan,Bull,US/Central,0.9980231143552312,263,64.54380618619534,eligible,13,0,140,False
Bull_education_Olive,Bull,US/Central,0.9978710462287105,263,58.21959768363304,eligible,14,0,168,False
Bull_education_Pablo,Bull,US/Central,0.9974148418491484,260,36.34075316359201,eligible,17,0,166,False
Bull_education_Pamela,Bull,US/Central,0.9977189781021898,263,170.21719250114313,eligible,15,0,138,False
Bull_education_Patrina,Bull,US/Central,0.9975669099756691,261,17.576676829268294,eligible,16,0,169,False
Bull_education_Racheal,Bull,US/Central,0.9978710462287105,263,582.8730569948186,eligible,14,0,166,False
Bull_education_Reina,Bull,US/Central,0.9975669099756691,262,72.0467987804878,eligible,16,0,167,False
Bull_education_Reynaldo,Bull,US/Central,0.9978710462287105,262,31.042517525144774,eligible,14,0,138,False
Bull_education_Roland,Bull,US/Central,0.9972627737226277,259,226.58051235132663,eligible,18,0,177,False
Bull_education_Roseann,Bull,US/Central,0.9975669099756691,261,244.2949695121951,eligible,16,0,164,False
Bull_education_Sebastian,Bull,US/Central,0.9975669099756691,260,37.69115853658536,eligible,16,0,165,False
Bull_education_Shona,Bull,US/Central,0.9981751824817519,264,187.00685557586837,eligible,12,0,163,False
Bull_education_Stewart,Bull,US/Central,0.9981751824817519,264,131.4503351614869,eligible,12,0,141,False
Bull_education_Summer,Bull,US/Central,0.9969586374695864,259,30.45057962172056,eligible,20,0,211,False
Bull_education_Tracey,Bull,US/Central,0.9980231143552312,264,185.69922291634924,eligible,13,0,142,False
Bull_education_Venita,Bull,US/Central,0.9977189781021898,261,36.94010059442158,eligible,15,0,165,False
Bull_education_Violeta,Bull,US/Central,0.9977189781021898,261,191.26291723822587,eligible,15,0,165,False
Bull_lodging_Abby,Bull,US/Central,0.9972627737226277,260,13.146309850564196,eligible,18,0,164,False
Bull_lodging_Allen,Bull,US/Central,0.9980231143552312,263,10.515788496114581,eligible,13,0,140,False
Bull_lodging_Anibal,Bull,US/Central,0.9978710462287105,262,24.83099664736361,eligible,14,0,165,False
Bull_lodging_Caren,Bull,US/Central,0.9980231143552312,264,154.16379704403474,eligible,13,0,138,False
Bull_lodging_Carie,Bull,US/Central,0.9975669099756691,261,53.57073170731707,eligible,16,0,166,False
Bull_lodging_Charlotte,Bull,US/Central,0.9978710462287105,263,12.124096296860714,eligible,14,0,141,False
Bull_lodging_Danielle,Bull,US/Central,0.9987834549878345,265,28.854750304506698,eligible,8,0,240,False
Bull_lodging_Dave,Bull,US/Central,0.9978710462287105,262,318.0697957939652,eligible,14,0,165,False
Bull_lodging_Elena,Bull,US/Central,0.9974148418491484,261,6.4843726177771,eligible,17,0,165,False
Bull_lodging_Graciela,Bull,US/Central,0.9972627737226277,261,12.53674900884416,eligible,18,0,168,False
Bull_lodging_Hugo,Bull,US/Central,0.9989355231143552,267,71.54133049170346,eligible,7,0,166,False
Bull_lodging_Jeremiah,Bull,US/Central,0.9975669099756691,261,55.920274390243904,eligible,16,0,167,False
Bull_lodging_Leonard,Bull,US/Central,0.9974148418491484,261,33.769019667632264,eligible,17,0,165,False
Bull_lodging_Lettie,Bull,US/Central,0.9975669099756691,261,34.15426829268293,eligible,16,0,165,False
Bull_lodging_Melissa,Bull,US/Central,0.9978710462287105,262,239.32749161840903,eligible,14,0,165,False
Bull_lodging_Perry,Bull,US/Central,0.9977189781021898,263,50.84423106233806,eligible,15,0,138,False
Bull_lodging_Terence,Bull,US/Central,0.9992396593673966,269,24.174402678435552,eligible,5,0,166,False
Bull_lodging_Travis,Bull,US/Central,0.9981751824817519,264,848.0667276051188,eligible,12,0,330,False
Bull_lodging_Xavier,Bull,US/Central,0.9983272506082725,265,9.844130997715157,eligible,11,0,142,False
Bull_office_Anne,Bull,US/Central,0.9972627737226277,260,20.62153095455932,eligible,18,0,166,False
Bull_office_Chantel,Bull,US/Central,0.9980231143552312,263,130.25857077555995,eligible,13,0,164,False
Bull_office_Claudia,Bull,US/Central,0.9980231143552312,263,32.31266189242724,eligible,13,0,141,False
Bull_office_Debbie,Bull,US/Central,0.9972627737226277,259,28.61771881671241,eligible,18,0,190,False
Bull_office_Efren,Bull,US/Central,0.9995437956204379,270,51.25909021755667,eligible,3,0,140,False
Bull_office_Ella,Bull,US/Central,0.9995437956204379,270,72.61433135554542,eligible,3,0,140,False
Bull_office_Hilton,Bull,US/Central,0.997110705596107,259,6.253469574500534,eligible,19,0,296,False
Bull_office_Ivette,Bull,US/Central,0.9978710462287105,262,22.094940566900334,eligible,14,0,269,False
Bull_office_Lilla,Bull,US/Central,0.9981751824817519,264,459.0802864107252,eligible,12,0,139,False
Bull_office_Mai,Bull,US/Central,0.9978710462287105,263,6.909783602560195,eligible,14,0,153,False
Bull_office_Marco,Bull,US/Central,0.9983272506082725,264,46.60548362528561,eligible,11,0,1267,False
Bull_office_Myron,Bull,US/Central,0.9975669099756691,262,60.74207317073171,eligible,16,0,161,False
Bull_office_Nicolas,Bull,US/Central,0.9975669099756691,261,20.889329268292684,eligible,16,0,167,False
Bull_office_Rob,Bull,US/Central,0.9984793187347932,265,271.9381663113006,eligible,10,0,165,False
Bull_office_Sally,Bull,US/Central,0.9992396593673966,268,91.13620453507838,eligible,5,0,168,False
Bull_office_Trevor,Bull,US/Central,0.9996958637469586,271,18.48448433221783,eligible,2,0,4265,False
Bull_office_Yvonne,Bull,US/Central,0.9975669099756691,261,164.79100609756097,eligible,16,0,167,False
Bull_public_Hyun,Bull,US/Central,0.9978710462287105,263,419.6011886619933,eligible,14,0,167,False
Bull_public_Jefferson,Bull,US/Central,0.9977189781021898,262,37.945587562871516,eligible,15,0,140,False
Bull_services_Jeanmarie,Bull,US/Central,0.9972627737226277,260,56.203568161024705,eligible,18,0,297,False
Bull_services_Juanita,Bull,US/Central,0.9975669099756691,261,125.44420731707316,eligible,16,0,294,False
Bull_services_Nadine,Bull,US/Central,0.9978710462287105,263,131.48354160316975,eligible,14,0,147,False
Bull_services_Rachelle,Bull,US/Central,0.9977189781021898,261,121.1958542905045,eligible,15,0,165,False
Bull_services_Winford,Bull,US/Central,0.9978710462287105,262,52.17814690643097,eligible,14,0,165,False
Cockatoo_assembly_Britt,Cockatoo,US/Eastern,0.7893856447688564,161,1.7836592178770954,training_valid_fraction_below_0.95,1385,0,4968,False
Cockatoo_assembly_Doyle,Cockatoo,US/Eastern,0.8217761557177615,221,256.2375277757217,training_valid_fraction_below_0.95,1172,0,0,False
Cockatoo_assembly_Ed,Cockatoo,US/Eastern,0.8173661800486618,206,198.23257828837208,training_valid_fraction_below_0.95,1201,0,0,False
Cockatoo_assembly_Emilio,Cockatoo,US/Eastern,0.8223844282238443,222,266.87214312130175,training_valid_fraction_below_0.95,1168,0,0,False
Cockatoo_assembly_Evelyn,Cockatoo,US/Eastern,0.8199513381995134,216,6.39377627967359,training_valid_fraction_below_0.95,1184,0,2,False
